Network Performance Limits,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Peak PPS for Nitro Instances,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"READ this wiki for interpreting instance PPS quotas.  Note, these numbers are in thousands.  So 1,000 list below, is equivalent to a maximum PPS allowance of 1,000 x 1,000 = 1,000,000 PPS. ",,,,,,,,,,,,,,,,,,,
"As of 1/20/23, C6gn PPS specs have been updated to more accurately reflect the capabilities of the platform.",,,,,,,,,,,,,,,,,,,
"As of 1/8/24, PPS limits have been reconciled in this wiki across the respective C/M/R platforms to the lowest common denominator. Additionally, AL7 single slotter numbers have been rectified to reflect card capabilities.",,,,,,,,,,,,,,,,,,,
"For NitroV6 instances, PPS specifications are implemented as an aggregate bidirectional spec.  Previous generation platforms implement PPS on a per direction basis.  ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Instance Type and size,nano,micro,small,medium,large,xlarge,2xlarge,3xlarge,4xlarge,6xlarge,8xlarge,9xlarge,12xlarge,16xlarge,18xlarge,24xlarge,32xlarge,48xlarge,96xlarge
cmr5(d)(b),,,,,800,1000,1250,,1500,,1750,2000,2000,2500,4000,4000,,,
cmr5a(d),,,,,800,1000,1250,,1500,,1750,,2000,2500,,3400,,,
cmr5n(d),,,,,1200,1800,2400,,3000,,5000,6000,6000,8000,9000,,,,
cmr6i(d),,,,,1000,1000,1250,,1500,,2000,,2600,3600,,4500,8300,,
cmr7i,,,,,1000,1000,1250,,1500,,2000,,2800,3600,,5800,8300,,
CMR8i,,,,,2000,2200,2660,,5250,,10500,,15750,21000,,28000,35000,42000,56000
cmr6a(d),,,,,1000,1000,1250,,1500,,1750,,2250,3000,,4500,6000,6000,
cmr7a(d),,,,1000,1000,1000,1250,,1500,,2000,,2800,3600,,5800,8300,8300,
cmr6in(d),,,,,1400,2300,4000,,5000,,6000,,9000,10000,,15000,19000,,
cmr6g(d),,,,450,800,1000,1250,,1500,,1500,,2000,3000,,,,,
c6gn,,,,1200,1500,2000,5000,,9000,,11000,,12000,14000,,,,,
cmr7g(d),,,,600,1000,1100,1250,,1500,,1750,,2250,3000,,,,,
cmr8g,,,,600,1000,1100,1250,,1500,,2000,,2800,3600,,5800,,8300,
c7gn,,,,2000,3000,5000,10000,,15000,,18000,,24000,30000,,,,,
c8gn (bidir),,,,3000,5000,8000,16000,,24000,,32000,,40000,50000,,60000,,120000,
i3,,,,,800,1000,1250,,1500,,2000,,,4000,,,,,
i3en,,,,,1200,,3500,4500,,5000,,,6000,,,9000,,,
i4i,,,,,800,1000,1250,,1600,,2000,,3000,4000,,6000,8000,,
i4g,,,,,800,1000,1250,,1600,,2000,,,4000,,,,,
im4gn,,,,800,1500,3000,4500,,5000,,6000,,,12000,,,,,
is4gen,,,,1200,1500,3000,4500,,5000,,6000,,,,,,,,
inf1,,,,,,500,500,,,2000,,,,,,8000,,,
m5zn,,,,,1200,2000,3500,4500,,6000,,,9000,,,,,,
t3,500,500,500,500,500,500,500,,,,,,,,,,,,
t3a,500,500,500,500,500,500,500,,,,,,,,,,,,
t4g,500,500,500,500,500,500,500,,,,,,,,,,,,
u- (sizes translate to storage),,,,,,,,,,4000,,4000,4000,,9000,9000,,,
x2g,,,,450,800,1000,1250,,1500,,1500,,2000,3000,,,,,
x2iedn,,,,,,2000,3000,,4000,,5000,,,6500,,10000,13000,,
x2idn,,,,,,,,,,,,,,6500,,10000,13000,,
x2iezn,,,,,,,3500,,4750,6000,8000,,9000,,,,,,
z1d,,,,,800,,1250,1500,,2000,,,4000,,,,,,
g5,,,,,,500,600,,1200,,3000,,,,,6000,,9000,
g6,,,,,,1000,2000,,3000,,3500,,6000,4500,,8000,,10000,
g6e,,,,,,1000,2000,,3000,,3500,,9000,4900,,12000,,12000,
cmr7i-flex,,,,,500,500,625,,750,,1000,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Note: cmr7i代表的是c7i/m7i/r7i,其他类似",,,,,,,,,,,,,,,,,,,